"object_type","schema_name","object_name","column_name","data_type","is_nullable","related_object_name","description"
"PRIMARY_KEY","storage","buckets","id","null","null","null","buckets_pkey"
"PRIMARY_KEY","storage","migrations","id","null","null","null","migrations_pkey"
"PRIMARY_KEY","storage","objects","id","null","null","null","objects_pkey"
"PRIMARY_KEY","storage","s3_multipart_uploads","id","null","null","null","s3_multipart_uploads_pkey"
"PRIMARY_KEY","storage","s3_multipart_uploads_parts","id","null","null","null","s3_multipart_uploads_parts_pkey"
"PRIMARY_KEY","vault","secrets","id","null","null","null","secrets_pkey"
"TABLE","auth","audit_log_entries","null","null","null","null","Auth: Audit trail for user actions."
"TABLE","auth","flow_state","null","null","null","null","stores metadata for pkce logins"
"TABLE","auth","identities","null","null","null","null","Auth: Stores identities associated to a user."
"TABLE","auth","instances","null","null","null","null","Auth: Manages users across multiple sites."
"TABLE","auth","mfa_amr_claims","null","null","null","null","auth: stores authenticator method reference claims for multi factor authentication"
"TABLE","auth","mfa_challenges","null","null","null","null","auth: stores metadata about challenge requests made"
"TABLE","auth","mfa_factors","null","null","null","null","auth: stores metadata about factors"
"TABLE","auth","one_time_tokens","null","null","null","null","null"
"TABLE","auth","refresh_tokens","null","null","null","null","Auth: Store of tokens used to refresh JWT tokens once they expire."
"TABLE","auth","saml_providers","null","null","null","null","Auth: Manages SAML Identity Provider connections."
"TABLE","auth","saml_relay_states","null","null","null","null","Auth: Contains SAML Relay State information for each Service Provider initiated login."
"TABLE","auth","schema_migrations","null","null","null","null","Auth: Manages updates to the auth system."
"TABLE","auth","sessions","null","null","null","null","Auth: Stores session data associated to a user."
"TABLE","auth","sso_domains","null","null","null","null","Auth: Manages SSO email address domain mapping to an SSO Identity Provider."
"TABLE","auth","sso_providers","null","null","null","null","Auth: Manages SSO identity provider information; see saml_providers for SAML."
"TABLE","auth","users","null","null","null","null","Auth: Stores user login data within a secure schema."
"TABLE","public","comment_votes","null","null","null","null","null"
"TABLE","public","comments","null","null","null","null","null"
"TABLE","public","conversation_participants","null","null","null","null","null"
"TABLE","public","conversations","null","null","null","null","null"
"TABLE","public","friendships","null","null","null","null","null"
"TABLE","public","group_members","null","null","null","null","null"
"TABLE","public","groups","null","null","null","null","null"
"TABLE","public","likes","null","null","null","null","null"
"TABLE","public","media","null","null","null","null","null"
"TABLE","public","messages","null","null","null","null","null"
"TABLE","public","notifications","null","null","null","null","null"
"TABLE","public","posts","null","null","null","null","null"
"TABLE","public","user_hidden_posts","null","null","null","null","null"
"TABLE","public","user_saved_posts","null","null","null","null","null"
"TABLE","public","users","null","null","null","null","null"
"TABLE","realtime","messages","null","null","null","null","null"
"TABLE","realtime","schema_migrations","null","null","null","null","null"
"TABLE","realtime","subscription","null","null","null","null","null"
"TABLE","storage","buckets","null","null","null","null","null"
"TABLE","storage","migrations","null","null","null","null","null"
"TABLE","storage","objects","null","null","null","null","null"
"TABLE","storage","s3_multipart_uploads","null","null","null","null","null"
"TABLE","storage","s3_multipart_uploads_parts","null","null","null","null","null"
"TABLE","vault","secrets","null","null","null","null","Table with encrypted `secret` column for storing sensitive information on disk."
"TRIGGER","auth","users","on_auth_user_created","null","null","null","CREATE TRIGGER on_auth_user_created AFTER INSERT ON auth.users FOR EACH ROW EXECUTE FUNCTION handle_new_user()"
"TRIGGER","public","posts","posts_search_update","null","null","null","CREATE TRIGGER posts_search_update BEFORE INSERT OR UPDATE ON public.posts FOR EACH ROW EXECUTE FUNCTION posts_search_update()"
"TRIGGER","public","users","on_public_user_deleted","null","null","null","CREATE TRIGGER on_public_user_deleted AFTER DELETE ON public.users FOR EACH ROW EXECUTE FUNCTION handle_user_delete()"
"TRIGGER","realtime","subscription","tr_check_filters","null","null","null","CREATE TRIGGER tr_check_filters BEFORE INSERT OR UPDATE ON realtime.subscription FOR EACH ROW EXECUTE FUNCTION realtime.subscription_check_filters()"
"TRIGGER","storage","objects","update_objects_updated_at","null","null","null","CREATE TRIGGER update_objects_updated_at BEFORE UPDATE ON storage.objects FOR EACH ROW EXECUTE FUNCTION storage.update_updated_at_column()"
"TRIGGER","vault","secrets","secrets_encrypt_secret_trigger_secret","null","null","null","CREATE TRIGGER secrets_encrypt_secret_trigger_secret BEFORE INSERT OR UPDATE OF secret ON vault.secrets FOR EACH ROW EXECUTE FUNCTION vault.secrets_encrypt_secret_secret()"
"UNIQUE_CONSTRAINT","auth","identities","provider","null","null","null","identities_provider_id_provider_unique"
"UNIQUE_CONSTRAINT","auth","identities","provider","null","null","null","identities_provider_id_provider_unique"
"UNIQUE_CONSTRAINT","auth","identities","provider_id","null","null","null","identities_provider_id_provider_unique"
"UNIQUE_CONSTRAINT","auth","identities","provider_id","null","null","null","identities_provider_id_provider_unique"
"UNIQUE_CONSTRAINT","auth","mfa_amr_claims","authentication_method","null","null","null","mfa_amr_claims_session_id_authentication_method_pkey"
"UNIQUE_CONSTRAINT","auth","mfa_amr_claims","authentication_method","null","null","null","mfa_amr_claims_session_id_authentication_method_pkey"
"UNIQUE_CONSTRAINT","auth","mfa_amr_claims","session_id","null","null","null","mfa_amr_claims_session_id_authentication_method_pkey"
"UNIQUE_CONSTRAINT","auth","mfa_amr_claims","session_id","null","null","null","mfa_amr_claims_session_id_authentication_method_pkey"
"UNIQUE_CONSTRAINT","auth","mfa_factors","last_challenged_at","null","null","null","mfa_factors_last_challenged_at_key"
"UNIQUE_CONSTRAINT","auth","refresh_tokens","token","null","null","null","refresh_tokens_token_unique"
"UNIQUE_CONSTRAINT","auth","saml_providers","entity_id","null","null","null","saml_providers_entity_id_key"
"UNIQUE_CONSTRAINT","auth","users","phone","null","null","null","users_phone_key"
"UNIQUE_CONSTRAINT","public","comment_votes","comment_id","null","null","null","comment_votes_user_comment_unique"
"UNIQUE_CONSTRAINT","public","comment_votes","comment_id","null","null","null","comment_votes_user_comment_unique"
"UNIQUE_CONSTRAINT","public","comment_votes","user_id","null","null","null","comment_votes_user_comment_unique"
"UNIQUE_CONSTRAINT","public","comment_votes","user_id","null","null","null","comment_votes_user_comment_unique"
"UNIQUE_CONSTRAINT","public","conversation_participants","conversation_id","null","null","null","conversation_participants_conversation_id_user_id_key"
